,Date,Title,Content,Category,Image_link,Article_link
0,['28/01/2020'],maradu movie: Dharmajan Bolgatty : I had to wait a decade to play a central role,"From his signature expressions to hilarious repartees, actor Dharmajan Bolgatty is the go-to comedian in Malayalam films these days. The actor who has completed a decade in films is much loved for his roles as a sidekick in films and as the partner in crime of Ramesh Pisharody in stage shows and comic skits.This year, however, marks a change in his career as Dharmajan will be playing a serious and central role in Maradu 357 , directed by Kannan Thamarakulam . In his words, it will mark a kind of shift from his brand of comedy and that has already got him excited. In a free-wheeling chat, Dharmajan opens up about his new projects, his cameo in Bigg Boss Malayalam 2, his family and more.It has taken me 10 years to get a character role. It’s not that I have never wanted it, but I got a chance only now. We can perform such a role when we are offered such a script. I have been tagged as a comedian and have been receiving humour-oriented roles in my career so far. Also, the wait was for a person who had the courage to back a film in such a genre with me. I have played sidekicks and foolish friends of protagonists, but this is the first time I am getting to do a central character and that too of a serious nature. I hope the film will mark a change in my career. For this film, they wanted the actor in Dharmajan and nothing more.I will be playing a security officer of a flat. His name is Mani and has only one arm. He lives with his old mother but says, ‘Enikku vanamutte bhandhukal aanu (I have relatives till the sky)’ as he sees the residents of the flat as his extended familyThe demolition of highrise buildings was there only in foreign countries as they used to de-commission timeworn buildings.The film’s script is written by Dinesh Pallath and it tells the story of the people who lived in those flats in Maradu that were demolished and those who worked in them as sweepers and other staff including Mani. It wasn’t just the elite, the flat also accommodated middle-income families who had invested their entire savings to own a house. For them, owning a flat was like the happiness we get while eating a biryani instead of a regular meal.Personally, I have also lived in a flat complex for a year, so I know how sentimental one can be when you are forced to leave. More than a film, I also have some personal sentiments attached to the script. I felt happy when Dinesh added my inputs and experience in the script when we were discussing it.For the character, I have grown a beard and moustache. I am now 43 years old and it’s the first time that I am seeing my face with a beard. I will be using the look for my future projects too.Yes, it was a short visit, for a day as a guest. It is a whole different world inside the house as there is no clock or calendar to check the time or date. I know most of the participants except Reshma, Sujo and Rajith sir. Pashanam Shaji, Manju, Thesni and Parikutty had told me about being part of the show. I know many of them personally and they are doing well in the show.To be frank, the participants are a mix of elite and middle-class people. I entered the show at 7 pm and came out the next afternoon. It was very different for me as my day starts with expecting the newspaper boy to turn up with the daily. It has become my habit to read the newspaper while going to the toilet, but at Bigg Boss House I had to read the guidelines sheet instead (laughs). But all our habits will change if we have to live in the Bigg Boss house as it is such a place.From my experience and watching the show, I feel Fukru is the best contestant. Many of them are acting, but I felt Fukru was genuine.As part of the promotion works of my film Margamkali, I had met a group of talented Tik Tok artistes including Fukru. I had clicked a few selfies with them. My daughter Vyga who was checking the photos on my phone got very excited seeing his snap as she is a fan. I wondered why she was so happy seeing the face of a Tik Tok artiste as opposed to taking pictures with prominent actors like Dulquer, Mammukka and more. I had to call Fukru at 10.30 pm as Vyga kept insisting that I make her talk to him. Vyga also performs Tik Tok videos and when she received appreciative messages from Fukru, I got to see her beam. So, I know him well now.I am small, but my name is big. I have always thought about that while I was a kid as to why my father named me thus. In school, I had this big name which was quite contrary to my appearance and height. My teachers used to mispronounce it as Dhananjayan or Dharmarajan. But when I did mimicry and acting, it became a unique name and my identity too. Now, I like it when people call me Dharmu, Dharman , Bolgatty et al.Apart from Maradu 357, I play a serious role in the film Voter too. It’s about an illiterate layman named Gopi, who resides in this secluded island. His views on democracy and life on the island forms the subject of the film. Things change when a group of officials including presiding officers comes to the island to get his vote. It is a national subject and the film is directed by debutant Sagar.",entertainment,"https://static.toiimg.com/thumb/msid-73664987,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-3186720/73664987.jpg",http://timesofindia.indiatimes.com//entertainment/malayalam/movies/news/dharmajan-bolgatty-i-had-to-wait-a-decade-to-play-a-central-role/articleshow/73662771.cms
1,['28/01/2020'],Nikhil Kumar is getting married this year,"It looks like 2020 has begun on a great note for Nikhil Kumar , as the actor-politician is set to get engaged to Revathi , the grandniece of politician M Krishnappa . Sources close to Nikhil’s family tell us that the match was made by his parents, former CM HD Kumaraswamy and Anitha. “Nikhil has always maintained that he wanted to marry a girl of his parents’ choice. And when they brought up the alliance with Revathi, he gave his consent to it,” the source explains. It is said that the families have already met, but the dates for the engagement ceremony and the wedding are yet to be finalised.“Although Nikhil has a packed year ahead with four new films in the pipeline, he does not want his personal life to take a back seat. The wedding will most likely take place later this year. Revathi’s father is a businessman, and she has studied in Bengaluru,” says the source. Interestingly, just last week, Nikhil had said in an interview that he will not wed a girl from the film industry.",entertainment,"https://static.toiimg.com/thumb/msid-73663467,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-164672/73663467.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/nikhil-kumar-is-getting-married-this-year/articleshow/73663525.cms
2,['28/01/2020'],No starry tantrums make social media celebs a hit at city college fests,"No-frills attitude

Easier to connect with and relate to

They speak the millennial lingo

Fit in the college fest budget

Greater social media reach

Given that digital media consumption has seen a massive surge over the past decade, it’s no wonder that artistes who have a huge fan following on social media platforms are among the most sought-after offline too. The growing popularity of YouTubers, DJs, stand-up comics as well as reality TV stars on college campuses attest to this new trend. These social media celebrities are now judging competitions at city colleges, while some also perform during events. What’s making them such a rage among youngsters?The popularity of these celebs on social media automatically translates to them having a bigger influence on the young demographic, says Ushua Prashant, a student of Mount Carmel College. “The audience at college fests mostly comprise those under the age of 22. Again, it’s the same age group that spends most of their leisure time on social media, watching these celebs’ videos or browsing through their pictures. It, thus, makes sense to invite them for campus events, because many students look up to them,” explains Ushua.“If the artiste happens to be from Bengaluru or from the same college, it’s a plus point. Some of these social media celebs may still have friends or acquaintances on campus. This makes it easier for us to get access to them. And when we approach them, they oblige without much persuasion,” says Ushua. Students find many of these artistes just like themselves. “Unlike film stars, who often need elaborate security that we cannot afford, social media celebs don’t make too many demands when we invite them to be part of our college fests,” says Vismitha Simha, an organising committee core member at Jain (deemed-to-be) University, Centre for Management Studies.According to student organisers, famous online artistes help create the right amount of buzz around college fests. “Collaborating with social media celebs also means more participation and footfalls at our events,” says Vismitha. DJs and stand-up comedians performing at fests is an added advantage. “We have had comedians like Aravind SA, Papa CJ and Saurabh Pant taking the stage at our cultural events earlier. Interactive shows are a big hit among students, particularly when comics crack those classroom jokes. DJs also have a similar influence on young crowd,” says Rebecca D’Silva, cultural secretary at RV College of Engineering.",life-style,"https://static.toiimg.com/thumb/msid-73666731,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-179414/73666731.jpg",http://timesofindia.indiatimes.com//life-style/spotlight/no-starry-tantrums-make-social-media-celebs-a-hit-at-city-college-fests/articleshow/73666731.cms
3,['28/01/2020'],Nikhil Kumar is getting married this year,"It looks like 2020 has begun on a great note for Nikhil Kumar , as the actor-politician is set to get engaged to Revathi , the grandniece of politician M Krishnappa . Sources close to Nikhil’s family tell us that the match was made by his parents, former CM HD Kumaraswamy and Anitha. “Nikhil has always maintained that he wanted to marry a girl of his parents’ choice. And when they brought up the alliance with Revathi, he gave his consent to it,” the source explains. It is said that the families have already met, but the dates for the engagement ceremony and the wedding are yet to be finalised.“Although Nikhil has a packed year ahead with four new films in the pipeline, he does not want his personal life to take a back seat. The wedding will most likely take place later this year. Revathi’s father is a businessman, and she has studied in Bengaluru,” says the source. Interestingly, just last week, Nikhil had said in an interview that he will not wed a girl from the film industry.",entertainment,"https://static.toiimg.com/thumb/msid-73663467,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-164672/73663467.jpg",http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/nikhil-kumar-is-getting-married-this-year/articleshow/73663410.cms
4,['28/01/2020'],"Shefali Jariwala: Asim was hitting on me, but I told him that I am married and much older than him",Saumya Tandon of Bhabhi Ji Ghar Par Hain fame has finally rested all the speculations around her participation in the upcoming season of Bigg Boss. The actress shared a fun video where she can be seen reacting to the rumours and clearly denying all of them.,tv,"https://static.toiimg.com/thumb/msid-73663820,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-77093/73663820.jpg",http://timesofindia.indiatimes.com//tv/news/hindi/shefali-jariwala-asim-was-hitting-on-me-but-i-told-him-that-i-am-married-and-much-older-than-him/articleshow/73663880.cms
5,['28/01/2020'],Bigg Boss Kannada showed audiences the real me: Priyanka,"In an exclusive conversation with ETimes TV, the actress accuses the makers of making them work for more than 12 hours and of torturing the artists. She is planning to leave the show and has communicated her grievances to the Production house.",tv,"https://static.toiimg.com/thumb/msid-73663332,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-127408/73663332.jpg",http://timesofindia.indiatimes.com//tv/news/kannada/bigg-boss-kannada-showed-audiences-the-real-me-priyanka/articleshow/73663332.cms
6,['28/01/2020'],"Bengaluru indulges in a night of food, drinks and fun","This story is from January 28, 2020

City folk made the most of the drinks and food at this event. #NoAgendaJustFun was all about heralding the new year with a range of drinks and a Mediterranean spread at Layla , The Den Bengaluru. Guests were seen having a gala time at the event , dressed in chic evening attire, as they enjoyed the ambience that was set with tunes by The Chronic Blue Circus.

",bengaluru,"https://static.toiimg.com/thumb/msid-,width-1070,height-580,imgsize-,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//city/bengaluru/bengaluru-indulges-in-a-night-of-food-drinks-and-fun/articleshow/73666882.cms
7,['28/01/2020'],"Bengaluru indulges in a night of food, drinks and fun","Recently, Kareena Kapoor Khan announced the big breaking news of her second pregnancy with hubby Saif Ali Khan. While fans, friends, and family of the gorgeous diva seem to be growing impatient for the upcoming little bundle of joy who’s expected to arrive by late February to March 2021, one must also recall Bebo’s first pregnancy days when she was carrying her munchkin, Taimur Ali Khan. No doubt, she was a complete stunner in her first pregnancy glow, meanwhile, if the actress is looking for some inspiration for her second round, here’s a list of five celebrities from whom Bebo can take fashion inspirations to ace her maternity look once again. From the supermodel, Gigi Hadid to ace singers like Katy Perry and Beyonce, this list covers some of the most fashionable mommies and mummy-to-be.Photo credit: Instagram",entertainment,"https://static.toiimg.com/thumb/msid-73666881,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-167900/73666881.jpg",http://timesofindia.indiatimes.com//entertainment/events/bangalore/bengaluru-indulges-in-a-night-of-food-drinks-and-fun/articleshow/73666881.cms
8,['28/01/2020'],Your trade-off for digital convenience: no privacy,"Are you addicted to connecting with friends online and playing games on social media that analyse your personality? Do you love to browse through e-commerce websites and are surprised to see related ads popping up on your social media news feed and phone browser? Ever wondered why these ads make it to your social media feed so soon? Here’s the thing; in the digital world, you are being watched all the time. Whether you like it or not, your online activities are being tracked. But, are there ways to safeguard your privacy? As the world observes Data Privacy Day on January 28, we talk to experts and find ways to limit your digital footprint and protect it from being misused.The first step to ensure a safe browsing experience is to be wary of what to download and what not to. “Downloading unknown apps and taking quirky psychological tests on social media puts your personal information at risk. People take random quizzes to find out how rich they’ll be when they are older or how they’ll look at a certain age. These tests serve as a psychological record of you for social media companies,” says Srinivas Kodali, an independent researcher on data and cybersecurity. A digital security expert from Delhi says, “Malicious apps downloaded on your phone can access your messages and can read your one time passwords (OTPs) too. Even though the digital era makes life convenient, the privacy of your data depends on how you use these apps.” He adds, “It is a trade-off for the convenience you enjoy by using these apps.”Even trusted apps, that have a million downloads to their credit, ask for permissions that they do not need. “For instance, there are photo editing apps and e-commerce related apps that ask for permission to view contacts and messages. One must always question why an app needs a certain permission, does it really require access to your messages and contact list to function? It is advisable to avoid downloading apps that ask for too much access,” says techpreneur Sandeep Sarma.Open-source softwares not only provide a better browsing experience, but are also deemed to be safer, state experts. “It makes sense to find open-source alternatives to major software systems, as they address legal and ethical issues from a consumer’s perspective, which makes them safe and easy to use. One can search for these alternatives online,” says Srinivas.“Even if you do need to use WiFi, say, at a café or another unknown location, avoid logging on to your personal online banking websites, personal emails or utility-based apps when you are using a network that you are not familiar with. Unsecured networks may put vital information at risk. Be extra wary if a network provides you an offer that is too good to be true,” advises Vijay Raj, a cyber security risk evangelist.As browsers track all your information and maintain a specific record of internet users, experts advise using privacy add-ons and extensions that can block access from other online software. “Privacy extensions and add-ons not only protect us from attacks by hackers, but also block ads that show up while browsing. Several privacy add-ons block trackers too,” says Vijay.If you have resorted to using the same login ID and password for all your accounts in your effort to remember them easily, you are putting your personal information at risk. “In case of a security breach on even one of your accounts, a hacker can access your other accounts and steal data,” explains Srinivas.- Avoid using an unknown free app, especially one that has very few downloads.- Always read the reviews for an app beforedownloading it.- Find out the origin of the app. It’s important to know where it was developed. Free apps designed in countries that have earlier been in news for data theft should, anyway, raise an alarm.- Don’t install any app through links received in your email or SMS that also offer prize money. Clicking those links often exposes you to maliciousmalware and can gain access to your system.- Be alert while downloading apps. For example, a gaming app shouldn’t ask for your location. Finance-related apps shouldn’t ask for access to your camera. Be mindful of the permissions you give.- Declutter your phone by removing apps that you don’t use on a regular basis.- Install apps from official app stores.- Use the right browsers or VPN.- Turn off location services when not required or if you don’t want your phone to save or track your timeline.",life-style,"https://static.toiimg.com/thumb/msid-73670023,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-1462253/73670023.jpg",http://timesofindia.indiatimes.com//life-style/spotlight/your-trade-off-for-digital-convenience-no-privacy/articleshow/73670023.cms
9,['28/01/2020'],Big sports events today,"This story is from January 28, 2020

Roger Federer. (AFP Photo)",sports,"https://static.toiimg.com/thumb/msid-73674105,width-1070,height-580,imgsize-510430,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",http://timesofindia.indiatimes.com//sports/more-sports/others/big-sports-events-today/articleshow/73674089.cms
